city_id,city_name,state_name,state_abbrev,lat,lng
451,Prescott Valley,Arizona,AZ,34.5983,-112.3176
452,Vacaville,California,CA,38.359,-121.968
453,Edinburg,Texas,TX,26.3197,-98.1596
454,Carmel,Indiana,IN,39.965,-86.146
455,Spokane Valley,Washington,WA,47.6626,-117.2346
456,San Angelo,Texas,TX,31.4424,-100.4506
457,La Crosse,Wisconsin,WI,43.824,-91.2268
458,Idaho Falls,Idaho,ID,43.4872,-112.0362
459,Holland,Michigan,MI,42.7677,-86.0985
460,Charlottesville,Virginia,VA,38.0375,-78.4855
461,Longview,Texas,TX,32.5193,-94.7621
462,Tracy,California,CA,37.7269,-121.4522
463,Boca Raton,Florida,FL,26.3752,-80.108
464,Lafayette,Colorado,CO,39.9949,-105.0997
465,Lees Summit,Missouri,MO,38.9172,-94.3816
466,Rio Rancho,New Mexico,NM,35.2872,-106.6981
467,South Fulton,Georgia,GA,33.6269,-84.5802
468,Beaverton,Oregon,OR,45.4779,-122.8168
469,Lawrence,Kansas,KS,38.9597,-95.2641
470,Bismarck,North Dakota,ND,46.8144,-100.7694
471,Orem,Utah,UT,40.2983,-111.6992
472,Middletown,Ohio,OH,39.5032,-84.366
473,San Tan Valley,Arizona,AZ,33.1879,-111.5472
474,San Marcos,California,CA,33.135,-117.1744
475,Sandy,Utah,UT,40.571,-111.8505
476,Federal Way,Washington,WA,47.3091,-122.3358
477,Mandeville,Louisiana,LA,30.3751,-90.0904
478,Hesperia,California,CA,34.3975,-117.3147
479,Brockton,Massachusetts,MA,42.0821,-71.0242
480,Compton,California,CA,33.893,-118.2275
481,Riverview,Florida,FL,27.8227,-82.3023
482,Fishers,Indiana,IN,39.9589,-85.9661
483,Sunrise,Florida,FL,26.1547,-80.2997
484,Bowling Green,Kentucky,KY,36.9719,-86.4373
485,Roswell,Georgia,GA,34.0391,-84.3513
486,Menifee,California,CA,33.6909,-117.1849
487,Plantation,Florida,FL,26.126,-80.2617
488,Dover,New Hampshire,NH,43.1887,-70.8845
489,Quincy,Massachusetts,MA,42.2516,-71.0183
490,Portsmouth,Virginia,VA,36.8468,-76.354
